setup,Break,Engine,Suspension,Front_Wing,Gearbox,Rear_Wing,Team_Score
1,Onyx,Cloudroar,Horizon,Virtue,Vector,Typhoon,741.57
2,Onyx,Cloudroar,Sigma,Virtue,Vector,Typhoon,741.5
3,Onyx,Cloudroar,Horizon,Virtue,Vector,Transcendence,734.57
4,Onyx,Cloudroar,Sigma,Virtue,Vector,Transcendence,734.5
5,Wildcore,Cloudroar,Horizon,Virtue,Vector,Typhoon,731.62
6,Wildcore,Cloudroar,Sigma,Virtue,Vector,Typhoon,731.55
7,Onyx,Cloudroar,Horizon,Thunderclap,Vector,Typhoon,729.6
8,Onyx,Cloudroar,Sigma,Thunderclap,Vector,Typhoon,729.53
9,Wildcore,Cloudroar,Horizon,Virtue,Vector,Transcendence,724.62
10,Wildcore,Cloudroar,Sigma,Virtue,Vector,Transcendence,724.55
11,Onyx,Cloudroar,Horizon,Trailblazer,Vector,Typhoon,723.61
12,The Warden,Cloudroar,Horizon,Virtue,Vector,Typhoon,723.54
13,Onyx,Cloudroar,Sigma,Trailblazer,Vector,Typhoon,723.54
14,The Warden,Cloudroar,Sigma,Virtue,Vector,Typhoon,723.47
15,Onyx,Cloudroar,Horizon,Virtue,Verdict,Typhoon,722.61
16,Onyx,Cloudroar,Horizon,Thunderclap,Vector,Transcendence,722.6
17,Onyx,Cloudroar,Sigma,Virtue,Verdict,Typhoon,722.54
18,Onyx,Cloudroar,Sigma,Thunderclap,Vector,Transcendence,722.53
19,Onyx,Cloudroar,Horizon,Virtue,Voyage,Typhoon,721.295
20,Onyx,Cloudroar,Sigma,Virtue,Voyage,Typhoon,721.225
